# Program:featureCounts v1.5.3; Command:"featureCounts" "-s" "0" "-t" "exon" "-g" "transcript_id" "-p" "-B" "-C" "-a" "/cromwell_root/broad-dsde-mint-dev-teststorage/demo/gencodev19_chr21.gtf" "-o" "demo.transcripts.counts.txt" "/cromwell_root/broad-dsde-mint-dev-cromwell-execution/cromwell-executions/Ss2RsemSingleSample/ddd4b5c7-e0de-4e2e-a1eb-74c32107f3aa/call-Star/Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/cromwell_root/broad-dsde-mint-dev-cromwell-execution/cromwell-executions/Ss2RsemSingleSample/ddd4b5c7-e0de-4e2e-a1eb-74c32107f3aa/call-Star/Aligned.sortedByCoord.out.bam
UBE3AP2|ENST00000429033.1	chr21;chr21	32432919;32434041	32433730;32435487	-;-	2259	0
TFF3|ENST00000291525.10	chr21;chr21;chr21	43731777;43733595;43735403	43732379;43733741;43735706	-;-;-	1054	0
TFF3|ENST00000398431.2	chr21;chr21;chr21	43732163;43733595;43735403	43732379;43733785;43735446	-;-;-	452	0
TFF3|ENST00000489676.1	chr21;chr21	43732163;43733595	43732379;43733796	-;-	419	0
TFF3|ENST00000518498.1	chr21;chr21;chr21	43731777;43733595;43735403	43732379;43733741;43735761	-;-;-	1109	0
RRP1|ENST00000497547.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	45209394;45211231;45212553;45213200;45215070;45217303;45217512;45217788;45219451;45220398;45220743;45222155;45223393	45209643;45211313;45212610;45213285;45215131;45217432;45217576;45217981;45219530;45220495;45220762;45222268;45225174	+;+;+;+;+;+;+;+;+;+;+;+;+	3022	0
RRP1|ENST00000475534.1	chr21;chr21;chr21;chr21;chr21;chr21	45209394;45211231;45212553;45213200;45215070;45217303	45209576;45211313;45212610;45213285;45215131;45217418	+;+;+;+;+;+	588	0
RRP1|ENST00000467112.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	45212812;45215070;45217303;45217512;45217788;45219451;45220398;45220743;45222155;45223393	45213285;45215131;45217432;45217576;45217981;45219530;45220495;45220762;45222268;45225174	+;+;+;+;+;+;+;+;+;+	3019	0
RRP1|ENST00000492638.1	chr21;chr21;chr21	45209458;45211231;45212553	45209643;45211313;45213300	+;+;+	1017	0
RRP1|ENST00000471909.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	45217242;45217512;45217788;45219451;45220398;45220743;45222155;45223393	45217432;45217576;45217981;45219530;45220495;45220762;45222268;45225174	+;+;+;+;+;+;+;+	2544	0
